fid,iid,pid
Sample5025503,Sample5025503,Western
Sample5025504,Sample5025504,Western
Sample5025542,Sample5025542,Western
Sample5025548,Sample5025548,Western
Sample5025617,Sample5025617,Muchinga
Sample5025643,Sample5025643,Muchinga
Sample5025644,Sample5025644,Muchinga
Sample5025654,Sample5025654,Muchinga
Sample5025684,Sample5025684,Northern
Sample5025747,Sample5025747,Western
Sample5025753,Sample5025753,Muchinga
Sample5025773,Sample5025773,Muchinga
Sample5025776,Sample5025776,Muchinga
Sample5025782,Sample5025782,Muchinga
Sample5025822,Sample5025822,Muchinga
Sample5025909,Sample5025909,Luapula
Sample5025918,Sample5025918,Muchinga
Sample5025922,Sample5025922,Luapula
Sample5025923,Sample5025923,Luapula
Sample5025929,Sample5025929,Luapula
Sample5025930,Sample5025930,Luapula
Sample5025941,Sample5025941,Muchinga
Sample5025942,Sample5025942,Muchinga
Sample5025953,Sample5025953,Luapula
Sample5025954,Sample5025954,Luapula
Sample5025957,Sample5025957,Luapula
Sample5025958,Sample5025958,Muchinga
Sample5025964,Sample5025964,Luapula
Sample5025967,Sample5025967,Luapula
Sample5025973,Sample5025973,Muchinga
Sample5025982,Sample5025982,Muchinga
Sample5026031,Sample5026031,Luapula
Sample5026032,Sample5026032,Luapula
Sample5026054,Sample5026054,Northern
Sample5026133,Sample5026133,Luapula
Sample5026134,Sample5026134,Luapula
Sample5026142,Sample5026142,Luapula
Sample5026152,Sample5026152,Luapula
Sample5026161,Sample5026161,Luapula
Sample5026175,Sample5026175,Luapula
Sample5026206,Sample5026206,Eastern
Sample5026240,Sample5026240,Luapula
Sample5026244,Sample5026244,Northern
Sample5026290,Sample5026290,Luapula
Sample5026293,Sample5026293,Luapula
Sample5026297,Sample5026297,Luapula
Sample5026301,Sample5026301,Luapula
Sample5026302,Sample5026302,Luapula
Sample5026309,Sample5026309,Luapula
Sample5026311,Sample5026311,Luapula
Sample5026312,Sample5026312,Luapula
Sample5026316,Sample5026316,Eastern
Sample5026338,Sample5026338,Copperbelt
Sample5026350,Sample5026350,Luapula
Sample5026378,Sample5026378,Western
Sample5026392,Sample5026392,Western
Sample5026399,Sample5026399,Western
Sample5026400,Sample5026400,Western
Sample5026402,Sample5026402,Luapula
Sample5026403,Sample5026403,Luapula
Sample5026407,Sample5026407,Luapula
Sample5026409,Sample5026409,Luapula
Sample5026416,Sample5026416,Luapula
Sample5026421,Sample5026421,Luapula
Sample5026433,Sample5026433,Luapula
Sample5026435,Sample5026435,Luapula
Sample5026437,Sample5026437,Luapula
Sample5026438,Sample5026438,Luapula
Sample5026441,Sample5026441,Luapula
Sample5026443,Sample5026443,Luapula
Sample5026450,Sample5026450,Luapula
Sample5026452,Sample5026452,Luapula
Sample5026460,Sample5026460,Luapula
Sample5026468,Sample5026468,Luapula
Sample5026480,Sample5026480,Luapula
Sample5026483,Sample5026483,Western
Sample5026578,Sample5026578,Northern
Sample5026584,Sample5026584,Northern
Sample5026588,Sample5026588,Northern
Sample5026596,Sample5026596,Northern
Sample5026610,Sample5026610,Copperbelt
Sample5026616,Sample5026616,Copperbelt
Sample5026698,Sample5026698,Copperbelt
Sample5026712,Sample5026712,North-Western
Sample5026718,Sample5026718,Copperbelt
Sample5026727,Sample5026727,North-Western
Sample5026729,Sample5026729,North-Western
Sample5026735,Sample5026735,North-Western
Sample5026742,Sample5026742,Copperbelt
Sample5026760,Sample5026760,Copperbelt
Sample5026771,Sample5026771,Copperbelt
Sample5026773,Sample5026773,North-Western
Sample5026793,Sample5026793,Copperbelt
Sample5026805,Sample5026805,Copperbelt
Sample5026814,Sample5026814,Copperbelt
Sample5026847,Sample5026847,Copperbelt
Sample5026866,Sample5026866,Copperbelt
Sample5026871,Sample5026871,Eastern
Sample5026877,Sample5026877,Eastern
Sample5026878,Sample5026878,Eastern
Sample5026883,Sample5026883,Eastern
Sample5026884,Sample5026884,Eastern
Sample5026910,Sample5026910,Eastern
Sample5026911,Sample5026911,Eastern
Sample5026916,Sample5026916,Eastern
Sample5027250,Sample5027250,Other
