"","iid1","iid2","sharedLength","weight"
"321","Sample5024473","Sample5025504",146101,0.00691245765852958
"322","Sample5024473","Sample5026392",146101,0.00691245765852958
"323","Sample5025504","Sample5026460",146101,0.00691245765852958
"324","Sample5026392","Sample5026460",146101,0.00691245765852958
"325","Sample5024113","Sample5024442",145984,0.00690692205270862
"326","Sample5025643","Sample5026483",145605,0.00688899047487833
"327","PU12","Sample5024992",145582,0.00688790227886225
"328","PU17","Sample5026054",144493,0.00683637856314409
"329","Sample5024376","Sample5026910",144184,0.00682175888623232
"330","Sample5024179","Sample5026452",143640,0.00679602068480838
"331","Sample5026152","Sample5026610",143461,0.00678755168103101
"332","Sample5024992","Sample5025957",142174,0.00672666001700046
"333","Sample5025957","Sample5025958",142174,0.00672666001700046
"334","Sample5024463","Sample5025747",141986,0.00671776519739071
"335","PU10","Sample5026134",141752,0.0067066939857488
"336","PU14","PU5",141752,0.0067066939857488
"337","PU14","Sample5026452",141752,0.0067066939857488
"338","PU15","Sample5025098",141752,0.0067066939857488
"339","PU26","Sample5026884",141752,0.0067066939857488
"340","PU5","Sample5025263",141752,0.0067066939857488
"341","PU5","Sample5026438",141752,0.0067066939857488
"342","PU5","Sample5026452",141752,0.0067066939857488
"343","PU5","Sample5026735",141752,0.0067066939857488
"344","PU5","Sample5026814",141752,0.0067066939857488
"345","PU7","Sample5024818",141752,0.0067066939857488
"346","Sample5024376","Sample5025782",141752,0.0067066939857488
"347","Sample5024884","Sample5025076",141752,0.0067066939857488
"348","Sample5025076","Sample5025643",141752,0.0067066939857488
"349","Sample5025643","Sample5026441",141752,0.0067066939857488
"350","Sample5025967","Sample5026441",141752,0.0067066939857488
"351","Sample5026133","Sample5026438",141752,0.0067066939857488
"352","Sample5026175","Sample5026910",141752,0.0067066939857488
"353","Sample5026403","Sample5026438",141752,0.0067066939857488
"354","Sample5026438","Sample5026452",141752,0.0067066939857488
"355","Sample5024264","Sample5024469",141134,0.00667745463192527
"356","Sample5024113","Sample5026416",140917,0.00666718773907785
"357","Sample5026316","Sample5026735",140483,0.00664665395338301
"358","Sample5024706","Sample5026441",140020,0.00662474809445049
"359","Sample5024275","Sample5025542",139903,0.00661921248862953
"360","Sample5024275","Sample5025548",139903,0.00661921248862953
"361","Sample5024376","Sample5025542",139903,0.00661921248862953
"362","Sample5024376","Sample5025548",139903,0.00661921248862953
"363","Sample5024500","Sample5025548",139903,0.00661921248862953
"364","Sample5025542","Sample5026399",139903,0.00661921248862953
"365","Sample5025542","Sample5026483",139903,0.00661921248862953
"366","Sample5025542","Sample5026916",139903,0.00661921248862953
"367","Sample5025548","Sample5026399",139903,0.00661921248862953
"368","Sample5025548","Sample5026483",139903,0.00661921248862953
"369","Sample5025548","Sample5026916",139903,0.00661921248862953
"370","Sample5026910","Sample5026916",139903,0.00661921248862953
"371","Sample5026452","Sample5026727",139564,0.00660317342560983
"372","Sample5024165","Sample5024964",138640,0.00655945633348533
"373","PU25","Sample5024461",138367,0.0065465399199031
"374","PU25","Sample5024500",138367,0.0065465399199031
"375","Sample5026290","Sample5026293",138270,0.00654195057148743
"376","Sample5024096","Sample5024706",136522,0.00645924767426489
"377","Sample5026350","Sample5026443",136522,0.00645924767426489
"378","Sample5026433","Sample5026712",136522,0.00645924767426489
"379","Sample5024086","Sample5024839",136413,0.00645409057140605
"380","Sample5026483","Sample5026727",136022,0.00643559123913259
"381","PU23","Sample5025958",136006,0.00643483423320835
"382","PU24","Sample5025958",136006,0.00643483423320835
"383","Sample5024467","Sample5026910",136006,0.00643483423320835
"384","Sample5025929","Sample5025958",136006,0.00643483423320835
"385","Sample5026403","Sample5026596",136006,0.00643483423320835
"386","Sample5024054","Sample5024262",135950,0.00643218471247354
"387","Sample5025257","Sample5025263",135730,0.00642177588101532
"388","Sample5025644","Sample5026878",135706,0.00642064037212897
"389","Sample5025643","Sample5025654",135643,0.0064176596613023
"390","Sample5024376","Sample5024461",135387,0.00640554756651456
"391","PU25","Sample5026911",135006,0.00638752136294375
"392","Sample5024096","Sample5026698",134517,0.00636438536938435
"393","Sample5024165","Sample5026441",134517,0.00636438536938435
"394","PU7","Sample5026883",133393,0.00631120570320693
"395","PU26","PU5",133374,0.0063103067586719
"396","Sample5024165","Sample5025504",132460,0.00626706279525005
"397","PU17","Sample5025918",132061,0.00624818496001447
"398","PU20","Sample5025918",132061,0.00624818496001447
"399","Sample5024011","Sample5025122",131402,0.0062170057785101
"400","Sample5024012","Sample5024442",131402,0.0062170057785101
"401","Sample5024165","Sample5025643",131383,0.00621610683397507
"402","Sample5024179","Sample5024473",131383,0.00621610683397507
"403","Sample5024473","Sample5026727",131383,0.00621610683397507
"404","Sample5024549","Sample5025089",131100,0.00620271729169018
"405","Sample5024549","Sample5026698",131100,0.00620271729169018
"406","Sample5025398","Sample5026460",131100,0.00620271729169018
"407","Sample5025504","Sample5026452",131100,0.00620271729169018
"408","Sample5025644","Sample5025654",131100,0.00620271729169018
"409","Sample5026392","Sample5026452",131100,0.00620271729169018
"410","Sample5026392","Sample5026735",131100,0.00620271729169018
"411","Sample5024055","Sample5025957",129717,0.00613728359211423
"412","Sample5025982","Sample5026152",129594,0.00613146410907168
"413","Sample5026152","Sample5026392",129458,0.0061250295587157
"414","Sample5024069","Sample5024465",129369,0.00612081871326215
"415","Sample5024465","Sample5024473",129369,0.00612081871326215
"416","Sample5024376","Sample5025289",129326,0.00611878425984077
"417","Sample5024461","Sample5025289",129326,0.00611878425984077
"418","Sample5025289","Sample5026910",129326,0.00611878425984077
"419","Sample5024704","Sample5025098",129185,0.00611211314513346
"420","PU10","PU16",129019,0.00610425920866953
"421","Sample5024006","Sample5024681",129019,0.00610425920866953
"422","Sample5024069","Sample5024884",128658,0.00608717926250401
"423","PU25","Sample5025982",128624,0.00608557062491501
"424","Sample5024473","Sample5025747",128567,0.00608287379130993
"425","Sample5026392","Sample5026483",128256,0.00606815948865764
"426","Sample5026460","Sample5026483",128256,0.00606815948865764
"427","Sample5024884","Sample5025468",127870,0.0060498967207355
"428","Sample5024165","Sample5026392",127688,0.00604128577834734
"429","PU14","Sample5026460",127631,0.00603858894474226
"430","Sample5024262","Sample5025335",127463,0.0060306403825378
"431","Sample5024262","Sample5025773",127463,0.0060306403825378
"432","Sample5025335","Sample5025773",127463,0.0060306403825378
"433","Sample5026302","Sample5026910",127353,0.0060254359668087
"434","Sample5024179","Sample5026698",126766,0.00599766331196337
"435","Sample5024179","Sample5026735",126766,0.00599766331196337
"436","Sample5025953","Sample5026460",126766,0.00599766331196337
"437","Sample5026698","Sample5026727",126766,0.00599766331196337
"438","Sample5026727","Sample5026735",126766,0.00599766331196337
"439","Sample5025398","Sample5026450",126130,0.00596757232647508
"440","Sample5024179","Sample5026441",125293,0.0059279714540636
"441","Sample5024465","Sample5026441",125293,0.0059279714540636
"442","Sample5025643","Sample5026727",125293,0.0059279714540636
"443","Sample5026441","Sample5026727",125293,0.0059279714540636
"444","Sample5024262","Sample5024376",122874,0.00581352162089351
"445","Sample5024262","Sample5025542",122874,0.00581352162089351
"446","Sample5024262","Sample5025548",122874,0.00581352162089351
"447","Sample5024262","Sample5026399",122874,0.00581352162089351
"448","Sample5024262","Sample5026483",122874,0.00581352162089351
"449","Sample5024262","Sample5026916",122874,0.00581352162089351
"450","PU26","Sample5024054",122854,0.00581257536348822
"451","Sample5024165","Sample5026727",122321,0.00578735760363719
"452","PU3","Sample5025982",121965,0.00577051422182299
"453","Sample5024469","Sample5025982",121965,0.00577051422182299
"454","Sample5024536","Sample5025982",121965,0.00577051422182299
"455","Sample5026441","Sample5026483",121751,0.00576038926758636
"456","Sample5024113","Sample5026588",120062,0.00568047782970944
"457","Sample5024006","Sample5026175",119623,0.00565970747966327
"458","Sample5024469","Sample5026392",118894,0.00562521639724037
"459","PU23","PU3",117831,0.00557492281614909
"460","PU23","Sample5024536",117831,0.00557492281614909
"461","PU23","Sample5025982",117831,0.00557492281614909
"462","PU24","PU3",117831,0.00557492281614909
"463","PU24","Sample5024536",117831,0.00557492281614909
"464","PU24","Sample5025982",117831,0.00557492281614909
"465","Sample5024463","Sample5026301",116490,0.00551147625712425
"466","Sample5026301","Sample5026443",116490,0.00551147625712425
"467","Sample5025116","Sample5025398",115524,0.00546577202444864
"468","Sample5026584","Sample5026883",114699,0.00542673890648034
"469","Sample5026142","Sample5027250",112658,0.00533017333827027
"470","Sample5024704","Sample5025116",112420,0.0053189128751473
"471","PU16","Sample5024680",111971,0.00529766939639849
"472","Sample5024069","Sample5025747",111448,0.0052729247652501
"473","Sample5025289","Sample5026483",111152,0.00525892015565177
"474","Sample5026416","Sample5026588",110902,0.00524709193808562
"475","Sample5025776","Sample5026399",109060,0.00515994163105821
"476","PU3","Sample5026392",108754,0.00514546389275724
"477","PU3","Sample5026610",108754,0.00514546389275724
"478","Sample5024469","Sample5026610",108754,0.00514546389275724
"479","PU3","Sample5025548",108501,0.0051334937365803
"480","Sample5024536","Sample5025548",108501,0.0051334937365803
"481","Sample5025548","Sample5025982",108501,0.0051334937365803
"482","Sample5025119","Sample5026443",108206,0.00511953643985224
"483","Sample5024019","Sample5025116",108133,0.00511608260032292
"484","Sample5024964","Sample5026483",107804,0.00510051666600586
"485","PU14","Sample5026712",107682,0.00509474449583358
"486","PU8","Sample5026437",107682,0.00509474449583358
"487","Sample5024008","Sample5024069",107682,0.00509474449583358
"488","Sample5024838","Sample5024992",107682,0.00509474449583358
"489","Sample5024264","Sample5026911",107630,0.00509228422657982
"490","Sample5025654","Sample5025982",107630,0.00509228422657982
"491","Sample5024771","Sample5026142",107584,0.00509010783454765
"492","Sample5024051","Sample5025499",106924,0.00505888134017301
"493","Sample5025257","Sample5025264",106924,0.00505888134017301
"494","Sample5024011","Sample5024981",106768,0.00505150053241173
"495","Sample5026244","Sample5026409",106616,0.00504430897613151
"496","PU15","Sample5024054",106551,0.00504123363956431
"497","PU26","PU3",106551,0.00504123363956431
