"fid1","iid1","fid2","iid2","m","ibd0","ibd1","ibd2"
"Luapula","Sample5024252","North-Western","Sample5025065",1.24127043154214,0.154,0.846,0
"Luapula","Sample5024252","North-Western","Sample5025076",1.17625063969173,0.115,0.885,0
"Luapula","Sample5024252","North-Western","Sample5025089",20,1,0,0
"Luapula","Sample5024252","North-Western","Sample5025095",20,1,0,0
"Luapula","Sample5024252","Other","Sample5025098",3.05289494843213,0.759,0.241,0
"Luapula","Sample5024252","Luapula","Sample5025114",20,1,0,0
"Luapula","Sample5024252","Luapula","Sample5025116",2.64385618977472,0.68,0.32,0
"Luapula","Sample5024252","Luapula","Sample5025117",1.08467032398699,0.057,0.943,0
"Luapula","Sample5024252","Luapula","Sample5025118",1.08008791132269,0.054,0.946,0
"Luapula","Sample5024252","Luapula","Sample5025119",3.74024072619907,0.728,0.25,0.022
"Luapula","Sample5024252","Luapula","Sample5025122",2.15521264992094,0.551,0.449,0
"Luapula","Sample5024252","Luapula","Sample5025123",20,1,0,0
"Luapula","Sample5024252","Luapula","Sample5025125",1.5842413334775,0.333,0.667,0
"Luapula","Sample5024252","Western","Sample5025199",2.8416629728329,0.721,0.279,0
"Luapula","Sample5024252","Luapula","Sample5025257",1.32373259173411,0.201,0.799,0
"Luapula","Sample5024252","Luapula","Sample5025261",1.06491747668134,0.044,0.956,0
"Luapula","Sample5024252","Luapula","Sample5025262",1.2276920250416,0.146,0.854,0
"Luapula","Sample5024252","Luapula","Sample5025263",1.20257191784769,0.131,0.869,0
"Luapula","Sample5024252","Luapula","Sample5025264",1.79585928321977,0.424,0.576,0
"Luapula","Sample5024252","Luapula","Sample5025266",1.70604102097131,0.387,0.613,0
"Luapula","Sample5024252","Luapula","Sample5025268",3.00578235259401,0.751,0.249,0
"Luapula","Sample5024252","Western","Sample5025289",2.67576543772947,0.687,0.313,0
"Luapula","Sample5024252","Western","Sample5025291",20,1,0,0
"Luapula","Sample5024252","Luapula","Sample5025334",20,1,0,0
"Luapula","Sample5024252","Western","Sample5025335",20,1,0,0
"Luapula","Sample5024252","Luapula","Sample5025398",1.85725982788392,0.448,0.552,0
"Luapula","Sample5024252","Other","Sample5025468",2.72737954533701,0.698,0.302,0
"Luapula","Sample5024252","Luapula","Sample5025499",1.11559744701631,0.077,0.923,0
"Luapula","Sample5024252","Western","Sample5025503",20,1,0,0
"Luapula","Sample5024252","Western","Sample5025504",3.04692104738749,0.758,0.242,0
"Luapula","Sample5024252","Western","Sample5025542",20,1,0,0
"Luapula","Sample5024252","Western","Sample5025548",4.32192809488736,0.819,0.172,0.009
"Luapula","Sample5024252","Muchinga","Sample5025617",20,1,0,0
"Luapula","Sample5024252","Muchinga","Sample5025643",1.63710935733414,0.357,0.643,0
"Luapula","Sample5024252","Muchinga","Sample5025644",2.65290132937773,0.682,0.318,0
"Luapula","Sample5024252","Muchinga","Sample5025654",1.67116353577046,0.372,0.628,0
"Luapula","Sample5024252","Northern","Sample5025684",1.10159814000781,0.068,0.932,0
"Luapula","Sample5024252","Western","Sample5025747",3.04097178105631,0.757,0.243,0
"Luapula","Sample5024252","Muchinga","Sample5025753",4.27768906111193,0.835,0.157,0.007
"Luapula","Sample5024252","Muchinga","Sample5025773",2.98850436116217,0.748,0.252,0
"Luapula","Sample5024252","Muchinga","Sample5025776",20,1,0,0
"Luapula","Sample5024252","Muchinga","Sample5025782",1.76121314041288,0.41,0.59,0
"Luapula","Sample5024252","Muchinga","Sample5025822",2.92686529536978,0.737,0.263,0
"Luapula","Sample5024252","Luapula","Sample5025909",1.0785636691937,0.053,0.947,0
"Luapula","Sample5024252","Muchinga","Sample5025918",2.69899774396719,0.692,0.308,0
"Luapula","Sample5024252","Luapula","Sample5025922",20,1,0,0
"Luapula","Sample5024252","Luapula","Sample5025923",20,1,0,0
"Luapula","Sample5024252","Luapula","Sample5025929",2.75146516386132,0.703,0.297,0
"Luapula","Sample5024252","Luapula","Sample5025930",3.95549147272892,0.79,0.198,0.012
"Luapula","Sample5024252","Muchinga","Sample5025941",4.93073733756289,0.882,0.114,0.004
"Luapula","Sample5024252","Muchinga","Sample5025942",1.30757280191029,0.192,0.808,0
"Luapula","Sample5024252","Luapula","Sample5025953",1.93511714841515,0.477,0.523,0
"Luapula","Sample5024252","Luapula","Sample5025954",1.07400058144378,0.05,0.95,0
"Luapula","Sample5024252","Luapula","Sample5025957",2.9105018491609,0.734,0.266,0
"Luapula","Sample5024252","Muchinga","Sample5025958",1.14401030269152,0.095,0.905,0
"Luapula","Sample5024252","Luapula","Sample5025964",1.3492354408831,0.215,0.785,0
"Luapula","Sample5024252","Luapula","Sample5025967",4.90689059560852,0.884,0.112,0.004
"Luapula","Sample5024252","Muchinga","Sample5025973",1.48398485299634,0.285,0.715,0
"Luapula","Sample5024252","Muchinga","Sample5025982",2.9378782880922,0.739,0.261,0
"Luapula","Sample5024252","Luapula","Sample5026031",1.46793244771097,0.277,0.723,0
"Luapula","Sample5024252","Luapula","Sample5026032",1.09541956507868,0.064,0.936,0
"Luapula","Sample5024252","Northern","Sample5026054",1.23276896297612,0.149,0.851,0
"Luapula","Sample5024252","Luapula","Sample5026133",3.68650052718308,0.715,0.261,0.024
"Luapula","Sample5024252","Luapula","Sample5026134",1.07096652135414,0.048,0.952,0
"Luapula","Sample5024252","Luapula","Sample5026142",2.12658049656514,0.542,0.458,0
"Luapula","Sample5024252","Luapula","Sample5026152",2.92139016530363,0.736,0.264,0
"Luapula","Sample5024252","Luapula","Sample5026161",2.8008773579864,0.713,0.287,0
"Luapula","Sample5024252","Luapula","Sample5026175",3.0350469470992,0.756,0.244,0
"Luapula","Sample5024252","Eastern","Sample5026206",20,1,0,0
"Luapula","Sample5024252","Luapula","Sample5026240",1.3040061868901,0.19,0.81,0
"Luapula","Sample5024252","Northern","Sample5026244",20,1,0,0
"Luapula","Sample5024252","Luapula","Sample5026290",20,1,0,0
"Luapula","Sample5024252","Luapula","Sample5026293",2.89432192210546,0.731,0.269,0
"Luapula","Sample5024252","Luapula","Sample5026297",1.17951465701362,0.117,0.883,0
"Luapula","Sample5024252","Luapula","Sample5026301",2.8520421186129,0.723,0.277,0
"Luapula","Sample5024252","Luapula","Sample5026302",2.59509687785487,0.669,0.331,0
"Luapula","Sample5024252","Luapula","Sample5026309",20,1,0,0
"Luapula","Sample5024252","Luapula","Sample5026311",1.11559744701631,0.077,0.923,0
"Luapula","Sample5024252","Luapula","Sample5026312",4.97727992349992,0.878,0.118,0.004
"Luapula","Sample5024252","Eastern","Sample5026316",1.32734837067162,0.203,0.797,0
"Luapula","Sample5024252","Copperbelt","Sample5026338",2.92139016530363,0.736,0.264,0
"Luapula","Sample5024252","Luapula","Sample5026350",2.97709959788992,0.746,0.254,0
"Luapula","Sample5024252","Western","Sample5026378",20,1,0,0
"Luapula","Sample5024252","Western","Sample5026392",2.89969509420431,0.732,0.268,0
"Luapula","Sample5024252","Western","Sample5026399",20,1,0,0
"Luapula","Sample5024252","Western","Sample5026400",2.79085860216141,0.711,0.289,0
"Luapula","Sample5024252","Luapula","Sample5026402",1.28630418515664,0.18,0.82,0
"Luapula","Sample5024252","Luapula","Sample5026403",5.37203868980014,0.932,0.067,0.001
"Luapula","Sample5024252","Luapula","Sample5026407",2.57776699931695,0.665,0.335,0
"Luapula","Sample5024252","Luapula","Sample5026409",1.58640591759082,0.334,0.666,0
"Luapula","Sample5024252","Luapula","Sample5026416",2.88896868761126,0.73,0.27,0
"Luapula","Sample5024252","Luapula","Sample5026421",2.90456662775501,0.689,0.295,0.016
"Luapula","Sample5024252","Luapula","Sample5026433",1.2446850959549,0.156,0.844,0
"Luapula","Sample5024252","Luapula","Sample5026435",4.77610398807316,0.869,0.127,0.005
"Luapula","Sample5024252","Luapula","Sample5026437",1.11872693857075,0.079,0.921,0
"Luapula","Sample5024252","Luapula","Sample5026438",1.12500636106703,0.083,0.917,0
"Luapula","Sample5024252","Luapula","Sample5026441",1.20756106993536,0.134,0.866,0
"Luapula","Sample5024252","Luapula","Sample5026443",1.32373259173411,0.201,0.799,0
"Luapula","Sample5024252","Luapula","Sample5026450",20,1,0,0
"Luapula","Sample5024252","Luapula","Sample5026452",1.608232280044,0.344,0.656,0
